"Title: Population Distribution by Age",,,,,,,,,
"Timeframe: 2014",,,,,,,,,
"Notes: See http://kff.org/other/state-indicator/distribution-by-age/# for notes and sources.",,,,,,,,,
Location,"Children 0-18","Adults 19-25","Adults 26-34","Adults 35-44","Adults 45-54","Adults 55-64",65+,Total
"United States",78118600,30508200,38415000,39918800,42796400,40417100,45994000,316167900
Alabama,1187100,467000,570400,566600,610100,650700,716000,4768000
Alaska,192600,71500,98800,85200,86200,94600,66700,695700
Arizona,1727500,647700,753000,851600,867700,844000,965700,6657200
Arkansas,735700,264700,356800,334900,369000,372700,462100,2896000
California,9709700,4096100,4821300,5277200,5442300,4466600,4888100,38701300
Colorado,1346300,506500,707200,725400,652900,702500,736600,5377400
Connecticut,843000,308000,415600,421200,570800,524000,495200,3577900
Delaware,215800,83900,106300,116600,123000,130500,153400,929500
"District of Columbia",123800,75300,144500,94900,80700,61900,75800,656900
Florida,4391100,1722800,2222100,2302400,2934200,2633500,3524900,19731100
Georgia,2614600,874000,1313200,1351500,1310300,1232000,1269500,9965100
Hawaii,338300,140300,162500,156200,181400,163600,223200,1365400
Idaho,466700,151200,184700,185300,233800,178300,210200,1610200
Illinois,3136200,1244700,1720200,1510800,1678200,1620900,1886900,12797900
Indiana,1723500,567100,786900,801700,766100,858800,973300,6477500
Iowa,793900,251600,403100,325900,409600,412100,484600,3080800
Kansas,748100,311000,314700,337000,364900,386600,390700,2853000
Kentucky,1036300,435400,476400,563100,605300,517000,682300,4315700
Louisiana,1163400,490200,595600,505900,653700,591100,556600,4556500
Maine,276600,92000,118400,170800,208300,192100,241600,1299600
Maryland,1450700,537300,740600,743000,850400,818500,798300,5938900
Massachusetts,1503800,664000,886200,779100,883700,901000,1040200,6658100
Michigan,2249100,990600,1085800,1227600,1473800,1397400,1482100,9906400
Minnesota,1360400,448800,698900,676300,731200,683900,818900,5418500
Mississippi,757700,308000,335700,370100,380900,421300,391600,2965300
Missouri,1514000,496900,633000,819300,793000,769900,935300,5961300
Montana,240500,96000,109000,117500,118500,169200,158500,1009100
Nebraska,493400,187200,224300,229600,250200,233600,262700,1881000
Nevada,701600,252300,346400,397200,383700,340200,402100,2823400
"New Hampshire",279500,136900,134500,156800,211400,195500,205000,1319700
"New Jersey",2118000,886200,1103900,1051600,1321600,1177700,1280300,8939300
"New Mexico",526700,200900,246700,233200,249900,246600,331300,2035200
"New York",4499700,1917100,2620300,2441200,2660100,2496600,3044400,19679400
"North Carolina",2447400,988100,985500,1310000,1414100,1249300,1441400,9835800
"North Dakota",182700,72600,113700,87700,78400,103000,95300,733400
Ohio,2769500,1121500,1270000,1395500,1572200,1554900,1852000,11535600
Oklahoma,1022700,362600,423500,470600,468800,453700,539800,3741700
Oregon,930300,347500,466000,523900,461000,516100,717400,3962300
Pennsylvania,2887300,1250200,1412800,1469400,1700100,1755200,2152000,12627100
"Rhode Island",227200,112500,114700,130000,153600,157300,152900,1048200
"South Carolina",1143600,420000,581300,599400,655400,619700,744900,4764300
"South Dakota",217400,81200,116900,88000,102000,107300,134000,846800
Tennessee,1576600,597400,816300,804700,823900,855700,1027400,6502000
Texas,7466600,2708700,3419200,3614400,3285900,3029700,3162800,26687400
Utah,948100,286200,387500,435500,288500,266500,317100,2929400
Vermont,126500,48600,78300,75000,86200,100900,101500,617000
Virginia,2030800,771700,983700,1132900,1182600,1047500,1109500,8258800
Washington,1764700,624600,884400,889600,927500,979600,1014600,7085000
"West Virginia",388400,178600,201400,223500,243900,268800,320900,1825500
Wisconsin,1380500,561000,648700,668800,822400,783500,882400,5747200
Wyoming,143300,51700,73900,72800,73200,83200,73900,572000
