"Title: Population Distribution by Age",,,,,,,,,
"Timeframe: 2014",,,,,,,,,
"Notes: See http://kff.org/other/state-indicator/distribution-by-age/ for notes and sources.",,,,,,,,,
Location,"Children 0-18","Adults 19-25","Adults 26-34","Adults 35-44","Adults 45-54","Adults 55-64",65+,Total
"United States",0.25,0.10,0.12,0.13,0.14,0.13,0.15,1
Alabama,0.25,0.10,0.12,0.12,0.13,0.14,0.15,1
Alaska,0.28,0.10,0.14,0.12,0.12,0.14,0.10,1
Arizona,0.26,0.10,0.11,0.13,0.13,0.13,0.15,1
Arkansas,0.25,0.09,0.12,0.12,0.13,0.13,0.16,1
California,0.25,0.11,0.12,0.14,0.14,0.12,0.13,1
Colorado,0.25,0.09,0.13,0.13,0.12,0.13,0.14,1
Connecticut,0.24,0.09,0.12,0.12,0.16,0.15,0.14,1
Delaware,0.23,0.09,0.11,0.13,0.13,0.14,0.17,1
"District of Columbia",0.19,0.11,0.22,0.14,0.12,0.09,0.12,1
Florida,0.22,0.09,0.11,0.12,0.15,0.13,0.18,1
Georgia,0.26,0.09,0.13,0.14,0.13,0.12,0.13,1
Hawaii,0.25,0.10,0.12,0.11,0.13,0.12,0.16,1
Idaho,0.29,0.09,0.11,0.12,0.15,0.11,0.13,1
Illinois,0.25,0.10,0.13,0.12,0.13,0.13,0.15,1
Indiana,0.27,0.09,0.12,0.12,0.12,0.13,0.15,1
Iowa,0.26,0.08,0.13,0.11,0.13,0.13,0.16,1
Kansas,0.26,0.11,0.11,0.12,0.13,0.14,0.14,1
Kentucky,0.24,0.10,0.11,0.13,0.14,0.12,0.16,1
Louisiana,0.26,0.11,0.13,0.11,0.14,0.13,0.12,1
Maine,0.21,0.07,0.09,0.13,0.16,0.15,0.19,1
Maryland,0.24,0.09,0.12,0.13,0.14,0.14,0.13,1
Massachusetts,0.23,0.10,0.13,0.12,0.13,0.14,0.16,1
Michigan,0.23,0.10,0.11,0.12,0.15,0.14,0.15,1
Minnesota,0.25,0.08,0.13,0.12,0.13,0.13,0.15,1
Mississippi,0.26,0.10,0.11,0.12,0.13,0.14,0.13,1
Missouri,0.25,0.08,0.11,0.14,0.13,0.13,0.16,1
Montana,0.24,0.10,0.11,0.12,0.12,0.17,0.16,1
Nebraska,0.26,0.10,0.12,0.12,0.13,0.12,0.14,1
Nevada,0.25,0.09,0.12,0.14,0.14,0.12,0.14,1
"New Hampshire",0.21,0.10,0.10,0.12,0.16,0.15,0.16,1
"New Jersey",0.24,0.10,0.12,0.12,0.15,0.13,0.14,1
"New Mexico",0.26,0.10,0.12,0.11,0.12,0.12,0.16,1
"New York",0.23,0.10,0.13,0.12,0.14,0.13,0.15,1
"North Carolina",0.25,0.10,0.10,0.13,0.14,0.13,0.15,1
"North Dakota",0.25,0.10,0.16,0.12,0.11,0.14,0.13,1
Ohio,0.24,0.10,0.11,0.12,0.14,0.13,0.16,1
Oklahoma,0.27,0.10,0.11,0.13,0.13,0.12,0.14,1
Oregon,0.23,0.09,0.12,0.13,0.12,0.13,0.18,1
Pennsylvania,0.23,0.10,0.11,0.12,0.13,0.14,0.17,1
"Rhode Island",0.22,0.11,0.11,0.12,0.15,0.15,0.15,1
"South Carolina",0.24,0.09,0.12,0.13,0.14,0.13,0.16,1
"South Dakota",0.26,0.10,0.14,0.10,0.12,0.13,0.16,1
Tennessee,0.24,0.09,0.13,0.12,0.13,0.13,0.16,1
Texas,0.28,0.10,0.13,0.14,0.12,0.11,0.12,1
Utah,0.32,0.10,0.13,0.15,0.10,0.09,0.11,1
Vermont,0.20,0.08,0.13,0.12,0.14,0.16,0.16,1
Virginia,0.25,0.09,0.12,0.14,0.14,0.13,0.13,1
Washington,0.25,0.09,0.12,0.13,0.13,0.14,0.14,1
"West Virginia",0.21,0.10,0.11,0.12,0.13,0.15,0.18,1
Wisconsin,0.24,0.10,0.11,0.12,0.14,0.14,0.15,1
Wyoming,0.25,0.09,0.13,0.13,0.13,0.15,0.13,1
