"Title: State Political Parties",,,,,,
"Timeframe: 2015",,,,,,
"Notes: See http://kff.org/other/state-indicator/state-political-parties/ for notes and sources.",,,,,,
Location,"Governor Political Affiliation","State Senate Majority Political Affiliation","State House Majority Political Affiliation","State Attorney General Political Affiliation","State Insurance Commissioner Political Affiliation"
"United States","31 Republican; 19 Democrat; 1 Independent","14 Democrat; 35 Republican; 2 N/A;","16 Democrat; 33 Republican; 2 N/A","8 Appointed; 21 Democrat; 22 Republican","40 Appointed; 5 Democrat; 6 Republican"
Alabama,Republican,Republican,Republican,Republican,Appointed
Alaska,Independent,Republican,Republican,Appointed,Appointed
Arizona,Republican,Republican,Republican,Republican,Appointed
Arkansas,Republican,Republican,Republican,Democrat,Appointed
California,Democrat,Democrat,Democrat,Democrat,Democrat
Colorado,Democrat,Republican,Democrat,Republican,Appointed
Connecticut,Democrat,Democrat,Democrat,Democrat,Appointed
Delaware,Democrat,Democrat,Democrat,Democrat,Democrat
"District of Columbia",Democrat,N/A,Democrat,Appointed,Appointed
Florida,Republican,Republican,Republican,Republican,Appointed
Georgia,Republican,Republican,Republican,Republican,Republican
Hawaii,Democrat,Democrat,Democrat,Appointed,Appointed
Idaho,Republican,Republican,Republican,Republican,Appointed
Illinois,Republican,Democrat,Democrat,Democrat,Appointed
Indiana,Republican,Republican,Republican,Republican,Appointed
Iowa,Republican,Democrat,Republican,Democrat,Appointed
Kansas,Republican,Republican,Republican,Republican,Republican
Kentucky,Democrat,Republican,Democrat,Democrat,Appointed
Louisiana,Republican,Republican,Republican,Republican,Republican
Maine,Republican,Republican,Democrat,Appointed,Appointed
Maryland,Republican,Democrat,Democrat,Democrat,Appointed
Massachusetts,Republican,Democrat,Democrat,Democrat,Appointed
Michigan,Republican,Republican,Republican,Republican,Appointed
Minnesota,Democrat,Democrat,Republican,Democrat,Appointed
Mississippi,Republican,Republican,Republican,Democrat,Republican
Missouri,Democrat,Republican,Republican,Democrat,Appointed
Montana,Democrat,Republican,Republican,Republican,Democrat
Nebraska,Republican,N/A,N/A,Republican,Appointed
Nevada,Republican,Republican,Republican,Republican,Appointed
"New Hampshire",Democrat,Republican,Republican,Appointed,Appointed
"New Jersey",Republican,Democrat,Democrat,Appointed,Appointed
"New Mexico",Republican,Democrat,Republican,Democrat,Appointed
"New York",Democrat,Republican,Democrat,Democrat,Appointed
"North Carolina",Republican,Republican,Republican,Democrat,Democrat
"North Dakota",Republican,Republican,Republican,Republican,Republican
Ohio,Republican,Republican,Republican,Republican,Appointed
Oklahoma,Republican,Republican,Republican,Republican,Republican
Oregon,Democrat,Democrat,Democrat,Democrat,Appointed
Pennsylvania,Democrat,Republican,Republican,Democrat,Appointed
"Rhode Island",Democrat,Democrat,Democrat,Democrat,Appointed
"South Carolina",Republican,Republican,Republican,Republican,Appointed
"South Dakota",Republican,Republican,Republican,Republican,Appointed
Tennessee,Republican,Republican,Republican,Appointed,Appointed
Texas,Republican,Republican,Republican,Republican,Appointed
Utah,Republican,Republican,Republican,Republican,Appointed
Vermont,Democrat,Democrat,Democrat,Democrat,Appointed
Virginia,Democrat,Republican,Republican,Democrat,Appointed
Washington,Democrat,Republican,Democrat,Democrat,Democrat
"West Virginia",Democrat,Republican,Republican,Republican,Appointed
Wisconsin,Republican,Republican,Republican,Republican,Appointed
Wyoming,Republican,Republican,Republican,Appointed,Appointed
